formula,level,realm,stage,exp_needed,daily_income,hours_to_level,cum_days,expected_hours_with_failure
D,90,渡劫,10,4050000,135940,715.02,460.54,2889.8
D,91,地仙,1,50000,136660,8.78,460.9,2344.53
D,92,地仙,2,200000,137380,34.94,462.36,2360.56
D,93,地仙,3,450000,138100,78.2,465.62,2400.13
D,94,地仙,4,800000,138820,138.31,471.38,2467.05
D,95,地仙,5,1250000,139540,214.99,480.34,2565.07
D,96,地仙,6,1800000,140260,308.0,493.17,2697.87
D,97,地仙,7,2450000,140980,417.08,510.55,2869.03
D,98,地仙,8,3200000,141700,541.99,533.13,3082.08
D,99,地仙,9,4050000,142420,682.49,561.57,3340.46
E,1,炼气,1,2000,71860,0.67,0.03,0.67
E,2,炼气,2,4594,72580,1.52,0.09,1.52
E,3,炼气,3,7474,73300,2.45,0.19,2.45
E,4,炼气,4,10556,74020,3.42,0.34,3.42
E,5,炼气,5,13797,74740,4.43,0.52,4.43
E,6,炼气,6,17171,75460,5.46,0.75,5.46
E,7,炼气,7,20660,76180,6.51,1.02,6.51
E,8,炼气,8,24251,76900,7.57,1.33,7.57
E,9,炼气,9,27933,77620,8.64,1.69,8.64
E,10,炼气,10,31697,78340,9.71,2.1,11.25
E,11,筑基,1,46200,79060,14.02,2.68,15.93
E,12,筑基,2,51285,79780,15.43,3.33,17.86
E,13,筑基,3,56455,80500,16.83,4.03,19.85
E,14,筑基,4,61705,81220,18.23,4.79,21.88
E,15,筑基,5,67032,81940,19.63,5.61,23.95
E,16,筑基,6,72429,82660,21.03,6.48,26.08
E,17,筑基,7,77895,83380,22.42,7.42,28.24
E,18,筑基,8,83425,84100,23.81,8.41,30.45
E,19,筑基,9,89017,84820,25.19,9.46,32.7
E,20,筑基,10,94669,85540,26.56,10.56,41.98
E,21,金丹,1,130490,86260,36.31,12.08,53.48
E,22,金丹,2,137982,86980,38.07,13.66,57.69
E,23,金丹,3,145542,87700,39.83,15.32,62.0
E,24,金丹,4,153168,88420,41.57,17.05,66.4
E,25,金丹,5,160858,89140,43.31,18.86,70.89
E,26,金丹,6,168610,89860,45.03,20.74,75.48
E,27,金丹,7,176422,90580,46.74,22.68,80.16
E,28,金丹,8,184291,91300,48.44,24.7,84.92
E,29,金丹,9,192218,92020,50.13,26.79,89.77
E,30,金丹,10,200199,92740,51.81,28.95,124.34
E,31,元婴,1,270703,93460,69.52,31.85,147.73
E,32,元婴,2,281216,94180,71.66,34.83,157.65
E,33,元婴,3,291794,94900,73.79,37.91,167.76
E,34,元婴,4,302436,95620,75.91,41.07,178.05
E,35,元婴,5,313142,96340,78.01,44.32,188.53
E,36,元婴,6,323909,97060,80.09,47.66,199.19
E,37,元婴,7,334735,97780,82.16,51.08,210.03
E,38,元婴,8,345621,98500,84.21,54.59,221.04
E,39,元婴,9,356564,99220,86.25,58.18,232.23
E,40,元婴,10,367563,99940,88.27,61.86,306.78
E,41,化神,1,492202,100660,117.35,66.75,349.26
E,42,化神,2,506643,101380,119.94,71.75,370.09
E,43,化神,3,521153,102100,122.5,76.85,391.22
E,44,化神,4,535730,102820,125.05,82.06,412.65
E,45,化神,5,550374,103540,127.57,87.38,434.38
E,46,化神,6,565083,104260,130.08,92.8,456.39
E,47,化神,7,579856,104980,132.56,98.32,478.69
E,48,化神,8,594693,105700,135.03,103.95,501.27
E,49,化神,9,609591,106420,137.48,109.68,524.14
E,50,化神,10,624550,107140,139.9,115.51,624.41
E,51,炼虚,1,831440,107860,185.0,123.21,694.49
E,52,炼虚,2,851041,108580,188.11,131.05,731.53
E,53,炼虚,3,870718,109300,191.19,139.02,768.97
E,54,炼虚,4,890469,110020,194.25,147.11,806.82
E,55,炼虚,5,910294,110740,197.28,155.33,845.05
E,56,炼虚,6,930191,111460,200.29,163.68,883.67
E,57,炼虚,7,950159,112180,203.28,172.15,922.68
E,58,炼虚,8,970197,112900,206.24,180.74,962.06
E,59,炼虚,9,990305,113620,209.18,189.46,1001.82
E,60,炼虚,10,1010481,114340,212.1,198.29,1134.58
E,61,合体,1,1339941,115060,279.49,209.94,1243.78
E,62,合体,2,1366344,115780,283.23,221.74,1304.2
E,63,合体,3,1392832,116500,286.94,233.7,1365.13
E,64,合体,4,1419404,117220,290.61,245.81,1426.55
E,65,合体,5,1446059,117940,294.26,258.07,1488.45
E,66,合体,6,1472796,118660,297.89,270.48,1550.84
E,67,合体,7,1499615,119380,301.48,283.04,1613.7
E,68,合体,8,1526514,120100,305.05,295.75,1677.04
E,69,合体,9,1553491,120820,308.59,308.61,1740.84
E,70,合体,10,1580548,121540,312.1,321.61,1915.78
E,71,大乘,1,2089986,122260,410.27,338.71,2079.71
E,72,大乘,2,2125359,122980,414.77,355.99,2173.32
E,73,大乘,3,2160831,123700,419.24,373.46,2267.52
E,74,大乘,4,2196400,124420,423.67,391.11,2362.3
E,75,大乘,5,2232065,125140,428.08,408.95,2457.67
E,76,大乘,6,2267826,125860,432.45,426.97,2553.61
E,77,大乘,7,2303680,126580,436.79,445.17,2650.13
E,78,大乘,8,2339628,127300,441.09,463.54,2747.21
E,79,大乘,9,2375669,128020,445.37,482.1,2844.84
E,80,大乘,10,2411800,128740,449.61,500.84,2943.03
E,81,渡劫,1,3182429,129460,589.98,525.42,3177.92
E,82,渡劫,2,3229634,130180,595.42,550.23,3311.28
E,83,渡劫,3,3276955,130900,600.82,575.26,3445.3
E,84,渡劫,4,3324389,131620,606.18,600.52,3579.96
E,85,渡劫,5,3371937,132340,611.5,626.0,3715.26
E,86,渡劫,6,3419597,133060,616.79,651.7,3851.19
E,87,渡劫,7,3467367,133780,622.04,677.62,3987.76
E,88,渡劫,8,3515248,134500,627.26,703.75,4124.94
E,89,渡劫,9,3563237,135220,632.43,730.1,4262.75
E,90,渡劫,10,3611335,135940,637.58,756.67,4401.17
E,91,地仙,1,4757401,136660,835.49,791.48,4733.01
E,92,地仙,2,4820205,137380,842.08,826.57,4920.66
E,93,地仙,3,4883145,138100,848.63,861.93,5109.02
E,94,地仙,4,4946221,138820,855.13,897.56,5298.09
E,95,地仙,5,5009432,139540,861.59,933.46,5487.86
E,96,地仙,6,5072775,140260,868.01,969.62,5678.33
E,97,地仙,7,5136251,140980,874.38,1006.06,5869.49
E,98,地仙,8,5199857,141700,880.71,1042.75,6061.33
E,99,地仙,9,5263594,142420,887.0,1079.71,6253.86
Custom,1,炼气,1,1800,71860,0.6,0.03,0.6
Custom,2,炼气,2,5091,72580,1.68,0.1,1.68
Custom,3,炼气,3,9353,73300,3.06,0.22,3.06
Custom,4,炼气,4,14400,74020,4.67,0.42,4.67
Custom,5,炼气,5,20124,74740,6.46,0.69,6.46
Custom,6,炼气,6,26454,75460,8.41,1.04,8.41
Custom,7,炼气,7,33336,76180,10.5,1.47,10.5
Custom,8,炼气,8,40729,76900,12.71,2.0,12.71
Custom,9,炼气,9,48600,77620,15.03,2.63,15.03
Custom,10,炼气,10,56920,78340,17.44,3.36,19.84
Custom,11,筑基,1,62613,79060,19.01,4.15,22.07
Custom,12,筑基,2,68305,79780,20.55,5.01,24.32
Custom,13,筑基,3,73997,80500,22.06,5.92,26.6
Custom,14,筑基,4,79689,81220,23.55,6.91,28.9
Custom,15,筑基,5,85381,81940,25.01,7.95,31.23
Custom,16,筑基,6,91073,82660,26.44,9.05,33.59
Custom,17,筑基,7,96765,83380,27.85,10.21,35.96
Custom,18,筑基,8,102457,84100,29.24,11.43,38.36
Custom,19,筑基,9,108149,84820,30.6,12.7,40.79
Custom,20,筑基,10,113841,85540,31.94,14.03,52.59
Custom,21,金丹,1,119534,86260,33.26,15.42,56.0
Custom,22,金丹,2,125226,86980,34.55,16.86,59.48
Custom,23,金丹,3,130918,87700,35.83,18.35,63.01
Custom,24,金丹,4,136610,88420,37.08,19.9,66.59
Custom,25,金丹,5,142302,89140,38.31,21.49,70.22
Custom,26,金丹,6,147994,89860,39.53,23.14,73.91
Custom,27,金丹,7,153686,90580,40.72,24.84,77.64
Custom,28,金丹,8,159378,91300,41.9,26.58,81.43
Custom,29,金丹,9,165070,92020,43.05,28.38,85.26
Custom,30,金丹,10,170762,92740,44.19,30.22,120.18
Custom,31,元婴,1,176455,93460,45.31,32.11,126.03
Custom,32,元婴,2,182147,94180,46.42,34.04,131.98
Custom,33,元婴,3,187839,94900,47.5,36.02,138.01
Custom,34,元婴,4,193531,95620,48.58,38.04,144.12
Custom,35,元婴,5,199223,96340,49.63,40.11,150.31
Custom,36,元婴,6,204915,97060,50.67,42.22,156.58
Custom,37,元婴,7,210607,97780,51.69,44.38,162.92
Custom,38,元婴,8,216299,98500,52.7,46.57,169.35
Custom,39,元婴,9,221991,99220,53.7,48.81,175.84
Custom,40,元婴,10,227683,99940,54.68,51.09,234.38
Custom,41,化神,1,233376,100660,55.64,53.41,243.33
Custom,42,化神,2,239068,101380,56.6,55.76,252.38
Custom,43,化神,3,244760,102100,57.53,58.16,261.53
Custom,44,化神,4,250452,102820,58.46,60.6,270.78
Custom,45,化神,5,256144,103540,59.37,63.07,280.13
Custom,46,化神,6,261836,104260,60.27,65.58,289.57
Custom,47,化神,7,267528,104980,61.16,68.13,299.1
Custom,48,化神,8,273220,105700,62.04,70.72,308.73
Custom,49,化神,9,278912,106420,62.9,73.34,318.44
Custom,50,化神,10,284604,107140,63.75,75.99,378.32
Custom,51,炼虚,1,294349,107860,65.5,78.72,390.82
Custom,52,炼虚,2,304228,108580,67.25,81.52,403.62
Custom,53,炼虚,3,314240,109300,69.0,84.4,416.73
Custom,54,炼虚,4,324386,110020,70.76,87.35,430.13
Custom,55,炼虚,5,334664,110740,72.53,90.37,443.83
Custom,56,炼虚,6,345074,111460,74.3,93.47,457.84
Custom,57,炼虚,7,355615,112180,76.08,96.64,472.15
Custom,58,炼虚,8,366286,112900,77.86,99.88,486.75
Custom,59,炼虚,9,377087,113620,79.65,103.2,501.66
Custom,60,炼虚,10,388016,114340,81.44,106.59,565.47
Custom,61,合体,1,399074,115060,83.24,110.06,582.5
Custom,62,合体,2,410260,115780,85.04,113.6,599.87
Custom,63,合体,3,421572,116500,86.85,117.22,617.57
Custom,64,合体,4,433011,117220,88.66,120.92,635.6
Custom,65,合体,5,444576,117940,90.47,124.69,653.96
Custom,66,合体,6,456266,118660,92.28,128.53,672.65
Custom,67,合体,7,468080,119380,94.1,132.45,691.67
Custom,68,合体,8,480019,120100,95.92,136.45,711.02
Custom,69,合体,9,492081,120820,97.75,140.52,730.7
Custom,70,合体,10,504266,121540,99.58,144.67,798.97
Custom,71,大乘,1,516574,122260,101.41,148.9,820.68
Custom,72,大乘,2,529003,122980,103.24,153.2,842.74
Custom,73,大乘,3,541554,123700,105.07,157.58,865.15
Custom,74,大乘,4,554226,124420,106.91,162.03,887.91
Custom,75,大乘,5,567019,125140,108.75,166.56,911.03
Custom,76,大乘,6,579931,125860,110.59,171.17,934.49
Custom,77,大乘,7,592963,126580,112.43,175.85,958.3
Custom,78,大乘,8,606114,127300,114.27,180.62,982.46
Custom,79,大乘,9,619383,128020,116.12,185.45,1006.97
Custom,80,大乘,10,632770,128740,117.96,190.37,1031.83
Custom,81,渡劫,1,646276,129460,119.81,195.36,1057.03
Custom,82,渡劫,2,659898,130180,121.66,200.43,1082.58
Custom,83,渡劫,3,673637,130900,123.51,205.58,1108.48
Custom,84,渡劫,4,687493,131620,125.36,210.8,1134.72
Custom,85,渡劫,5,701464,132340,127.21,216.1,1161.3
Custom,86,渡劫,6,715551,133060,129.06,221.48,1188.23
Custom,87,渡劫,7,729753,133780,130.92,226.93,1215.5
Custom,88,渡劫,8,744070,134500,132.77,232.46,1243.12
Custom,89,渡劫,9,758501,135220,134.63,238.07,1271.08
Custom,90,渡劫,10,773046,135940,136.48,243.76,1299.38
Custom,91,地仙,1,787705,136660,138.34,249.52,1328.02
Custom,92,地仙,2,802477,137380,140.19,255.37,1357.0
Custom,93,地仙,3,817362,138100,142.05,261.28,1386.32
Custom,94,地仙,4,832359,138820,143.9,267.28,1415.98
Custom,95,地仙,5,847468,139540,145.76,273.35,1445.98
Custom,96,地仙,6,862689,140260,147.62,279.5,1476.31
Custom,97,地仙,7,878022,140980,149.47,285.73,1506.99
Custom,98,地仙,8,893465,141700,151.33,292.04,1538.0
Custom,99,地仙,9,909019,142420,153.18,298.42,1569.34
