scenario,level,level_name,hp,damage,agility,speed,armor_value,weapon,battles,actions_mean,rounds_mean,rounds_median,rounds_p10,rounds_p90,rounds_min,rounds_max,draw_rate,ttk_analytic,notes
config-baseline,42,化神二阶,715,133,46,25,0,bare_fists,2000,17.52,9.01,9,7.0,11.0,5,14,0.0,10.8,裸拳
config-baseline,43,化神三阶,730,136,47,26,0,bare_fists,2000,17.61,9.04,9,7.0,11.0,5,13,0.0,10.78,裸拳
config-baseline,44,化神四阶,745,139,48,26,0,bare_fists,2000,17.6,9.05,9,7.0,11.0,5,13,0.0,10.77,裸拳
config-baseline,45,化神五阶,760,142,49,27,0,bare_fists,2000,17.5,9.0,9,7.0,11.0,5,13,0.0,10.75,裸拳
config-baseline,46,化神六阶,775,145,50,27,0,bare_fists,2000,17.55,9.03,9,7.0,11.0,5,13,0.0,10.74,裸拳
config-baseline,47,化神七阶,790,148,51,28,0,bare_fists,2000,17.53,9.01,9,7.0,11.0,5,13,0.0,10.72,裸拳
config-baseline,48,化神八阶,805,151,52,28,0,bare_fists,2000,17.54,9.01,9,7.0,11.0,5,13,0.0,10.71,裸拳
config-baseline,49,化神九阶,820,154,53,29,0,bare_fists,2000,17.6,9.04,9,7.0,11.0,5,13,0.0,10.7,裸拳
config-baseline,50,炼虚初期,835,157,54,29,0,bare_fists,2000,17.54,9.03,9,7.0,11.0,5,13,0.0,10.68,裸拳
config-baseline,51,炼虚一阶,850,160,55,30,0,bare_fists,2000,17.57,9.03,9,7.0,11.0,5,13,0.0,10.67,裸拳
config-baseline,52,炼虚二阶,865,163,56,30,0,bare_fists,2000,17.5,9.0,9,7.0,11.0,5,12,0.0,10.66,裸拳
config-baseline,53,炼虚三阶,880,166,57,31,0,bare_fists,2000,17.5,9.01,9,7.0,11.0,5,13,0.0,10.65,裸拳
config-baseline,54,炼虚四阶,895,169,58,31,0,bare_fists,2000,17.5,9,9,7.0,11.0,5,13,0.0,10.64,裸拳
config-baseline,55,炼虚五阶,910,172,59,32,0,bare_fists,2000,17.47,8.99,9,7.0,11.0,5,13,0.0,10.63,裸拳
config-baseline,56,炼虚六阶,925,175,60,32,0,bare_fists,2000,17.6,9.05,9,7.0,11.0,5,13,0.0,10.62,裸拳
config-baseline,57,炼虚七阶,940,178,61,33,0,bare_fists,2000,17.5,9.0,9,7.0,11.0,4,13,0.0,10.61,裸拳
config-baseline,58,炼虚八阶,955,181,62,33,0,bare_fists,2000,17.53,9.01,9,7.0,11.0,5,13,0.0,10.6,裸拳
config-baseline,59,炼虚九阶,970,184,63,34,0,bare_fists,2000,17.43,8.96,9,7.0,11.0,5,13,0.0,10.59,裸拳
config-baseline,60,合体初期,985,187,64,34,0,bare_fists,2000,17.67,9.09,9,7.0,11.0,5,13,0.0,10.58,裸拳
config-baseline,61,合体一阶,1000,190,65,35,0,bare_fists,2000,17.61,9.05,9,7.0,11.0,5,13,0.0,10.57,裸拳
config-baseline,62,合体二阶,1015,193,66,35,0,bare_fists,2000,17.6,9.05,9,7.0,11.0,5,13,0.0,10.56,裸拳
config-baseline,63,合体三阶,1030,196,67,36,0,bare_fists,2000,17.56,9.03,9,7.0,11.0,4,13,0.0,10.56,裸拳
config-baseline,64,合体四阶,1045,199,68,36,0,bare_fists,2000,17.47,8.99,9,7.0,11.0,5,14,0.0,10.55,裸拳
config-baseline,65,合体五阶,1060,202,69,37,0,bare_fists,2000,17.57,9.03,9,7.0,11.0,5,13,0.0,10.54,裸拳
config-baseline,66,合体六阶,1075,205,70,37,0,bare_fists,2000,17.43,8.96,9,7.0,11.0,5,13,0.0,10.53,裸拳
config-baseline,67,合体七阶,1090,208,71,38,0,bare_fists,2000,17.4,8.95,9,7.0,11.0,5,13,0.0,10.53,裸拳
config-baseline,68,合体八阶,1105,211,72,38,0,bare_fists,2000,17.53,9.01,9,7.0,11.0,5,13,0.0,10.52,裸拳
config-baseline,69,合体九阶,1120,214,73,39,0,bare_fists,2000,17.36,8.94,9,7.0,11.0,5,13,0.0,10.51,裸拳
config-baseline,70,大乘初期,1135,217,74,39,0,bare_fists,2000,17.49,9.0,9,7.0,11.0,5,13,0.0,10.51,裸拳
config-baseline,71,大乘一阶,1150,220,75,40,0,bare_fists,2000,17.46,8.97,9,7.0,11.0,4,13,0.0,10.5,裸拳
config-baseline,72,大乘二阶,1165,223,76,40,0,bare_fists,2000,17.49,8.99,9,7.0,11.0,5,14,0.0,10.49,裸拳
config-baseline,73,大乘三阶,1180,226,77,41,0,bare_fists,2000,17.48,8.99,9,7.0,11.0,5,13,0.0,10.49,裸拳
config-baseline,74,大乘四阶,1195,229,78,41,0,bare_fists,2000,17.55,9.01,9,7.0,11.0,5,13,0.0,10.48,裸拳
config-baseline,75,大乘五阶,1210,232,79,42,0,bare_fists,2000,17.44,8.98,9,7.0,11.0,5,13,0.0,10.48,裸拳
config-baseline,76,大乘六阶,1225,235,80,42,0,bare_fists,2000,17.47,8.98,9,7.0,11.0,5,13,0.0,10.47,裸拳
config-baseline,77,大乘七阶,1240,238,81,43,0,bare_fists,2000,17.52,9.0,9,7.0,11.0,5,14,0.0,10.46,裸拳
config-baseline,78,大乘八阶,1255,241,82,43,0,bare_fists,2000,17.57,9.04,9,7.0,11.0,5,13,0.0,10.46,裸拳
config-baseline,79,大乘九阶,1270,244,83,44,0,bare_fists,2000,17.45,8.97,9,7.0,11.0,5,13,0.0,10.45,裸拳
config-baseline,80,渡劫初期,1285,247,84,44,0,bare_fists,2000,17.5,9.0,9,7.0,11.0,5,13,0.0,10.45,裸拳
config-baseline,81,渡劫一阶,1300,250,85,45,0,bare_fists,2000,17.47,8.99,9,7.0,11.0,5,13,0.0,10.44,裸拳
config-baseline,82,渡劫二阶,1315,253,86,45,0,bare_fists,2000,17.33,8.92,9,7.0,11.0,5,13,0.0,10.44,裸拳
config-baseline,83,渡劫三阶,1330,256,87,46,0,bare_fists,2000,17.54,9.02,9,7.0,11.0,5,13,0.0,10.44,裸拳
config-baseline,84,渡劫四阶,1345,259,88,46,0,bare_fists,2000,17.48,8.98,9,7.0,11.0,5,13,0.0,10.43,裸拳
config-baseline,85,渡劫五阶,1360,262,89,47,0,bare_fists,2000,17.34,8.93,9,7.0,11.0,5,13,0.0,10.43,裸拳
config-baseline,86,渡劫六阶,1375,265,90,47,0,bare_fists,2000,17.49,9.0,9,7.0,11.0,5,13,0.0,10.42,裸拳
config-baseline,87,渡劫七阶,1390,268,91,48,0,bare_fists,2000,17.49,9.01,9,7.0,11.0,5,13,0.0,10.42,裸拳
config-baseline,88,渡劫八阶,1405,271,92,48,0,bare_fists,2000,17.55,9.02,9,7.0,11.0,5,13,0.0,10.41,裸拳
config-baseline,89,渡劫九阶,1420,274,93,49,0,bare_fists,2000,17.46,8.97,9,7.0,11.0,5,13,0.0,10.41,裸拳
config-baseline,90,地仙初期,1435,277,94,49,0,bare_fists,2000,17.45,8.98,9,7.0,11.0,5,13,0.0,10.41,裸拳
config-baseline,91,地仙一阶,1450,280,95,50,0,bare_fists,2000,17.47,8.99,9,7.0,11.0,5,13,0.0,10.4,裸拳
config-baseline,92,地仙二阶,1465,283,96,50,0,bare_fists,2000,17.54,9.0,9,7.0,11.0,5,13,0.0,10.4,裸拳
config-baseline,93,地仙三阶,1480,286,97,51,0,bare_fists,2000,17.55,9.03,9,7.0,11.0,5,12,0.0,10.39,裸拳
config-baseline,94,地仙四阶,1495,289,98,51,0,bare_fists,2000,17.55,9.02,9,7.0,11.0,5,13,0.0,10.39,裸拳
config-baseline,95,地仙五阶,1510,292,99,52,0,bare_fists,2000,17.51,9.0,9,7.0,11.0,5,13,0.0,10.39,裸拳
config-baseline,96,地仙六阶,1525,295,100,52,0,bare_fists,2000,17.43,8.96,9,7.0,11.0,5,13,0.0,10.38,裸拳
config-baseline,97,地仙七阶,1540,298,101,53,0,bare_fists,2000,17.5,9.0,9,7.0,11.0,5,14,0.0,10.38,裸拳
config-baseline,98,地仙八阶,1555,301,102,53,0,bare_fists,2000,17.48,9.0,9,7.0,11.0,5,13,0.0,10.38,裸拳
config-baseline,99,地仙九阶,1570,304,103,54,0,bare_fists,2000,17.43,8.97,9,7.0,11.0,4,13,0.0,10.37,裸拳
player-random-growth,1,练气一阶,100,10,5,5,0,bare_fists,2000,18.17,9.33,9,7.9,11.0,5,14,0.0,20.09,随机成长
player-random-growth,2,练气二阶,101,11,6,6,0,bare_fists,2000,17.44,8.97,9,7.0,11.0,4,14,0.0,21.09,随机成长
player-random-growth,3,练气三阶,102,13,7,8,0,bare_fists,2000,16.68,8.59,9,6.0,11.0,4,14,0.0,22.09,随机成长
player-random-growth,4,练气四阶,104,14,9,9,0,bare_fists,2000,16.0,8.26,8,6.0,11.0,4,15,0.0,13.39,随机成长
player-random-growth,5,练气五阶,105,15,10,10,0,bare_fists,2000,15.47,7.99,8,6.0,11.0,3,14,0.0,21.09,随机成长
player-random-growth,6,练气六阶,106,16,11,11,0,bare_fists,2000,15.07,7.78,8,5.0,11.0,3,14,0.0,8.44,随机成长
player-random-growth,7,练气七阶,108,18,12,13,0,bare_fists,2000,14.53,7.52,7,5.0,10.0,3,15,0.0,8.03,随机成长
player-random-growth,8,练气八阶,109,19,14,14,0,bare_fists,2000,14.12,7.29,7,5.0,10.0,3,15,0.0,11.55,随机成长
player-random-growth,9,练气九阶,110,20,15,15,0,bare_fists,2000,13.74,7.13,7,5.0,10.0,3,14,0.0,23.1,随机成长
player-random-growth,10,筑基初期,111,21,16,16,0,bare_fists,2000,13.2,6.86,7,4.0,10.0,2,15,0.0,6.7,随机成长
player-random-growth,11,筑基一阶,113,22,17,18,0,bare_fists,2000,13.0,6.75,7,4.0,10.0,2,14,0.0,9.24,随机成长
player-random-growth,12,筑基二阶,114,24,19,19,0,bare_fists,2000,12.39,6.46,6,4.0,9.0,2,16,0.0,8.44,随机成长
player-random-growth,13,筑基三阶,115,25,20,20,0,bare_fists,2000,12.22,6.36,6,4.0,9.0,2,15,0.0,10.04,随机成长
player-random-growth,14,筑基四阶,116,26,21,21,0,bare_fists,2000,11.91,6.21,6,4.0,9.0,2,15,0.0,7.7,随机成长
player-random-growth,15,筑基五阶,118,28,22,22,0,bare_fists,2000,11.51,6.0,6,4.0,9.0,2,15,0.0,10.04,随机成长
player-random-growth,16,筑基六阶,119,29,24,24,0,bare_fists,2000,11.24,5.88,6,4.0,8.0,2,15,0.0,15.4,随机成长
player-random-growth,17,筑基七阶,120,30,25,25,0,bare_fists,2000,11.02,5.77,6,4.0,8.0,2,15,0.0,7.7,随机成长
player-random-growth,18,筑基八阶,121,31,26,26,0,bare_fists,2000,10.89,5.7,5,4.0,8.0,2,16,0.0,7.36,随机成长
player-random-growth,19,筑基九阶,122,33,28,27,0,bare_fists,2000,10.55,5.53,5,3.0,8.0,2,17,0.0,8.37,随机成长
player-random-growth,20,金丹初期,124,34,29,29,0,bare_fists,2000,10.45,5.48,5,3.0,8.0,2,17,0.0,5.13,随机成长
player-random-growth,21,金丹一阶,125,35,30,30,0,bare_fists,2000,10.22,5.36,5,3.0,8.0,1,16,0.0,6.53,随机成长
player-random-growth,22,金丹二阶,126,36,31,31,0,bare_fists,2000,9.97,5.25,5,3.0,8.0,2,14,0.0,9.04,随机成长
player-random-growth,23,金丹三阶,128,37,33,33,0,bare_fists,2000,9.84,5.18,5,3.0,7.0,2,16,0.0,3.85,随机成长
player-random-growth,24,金丹四阶,129,39,34,33,0,bare_fists,2000,9.52,5.01,5,3.0,7.0,2,16,0.0,6.28,随机成长
player-random-growth,25,金丹五阶,130,40,35,35,0,bare_fists,2000,9.38,4.94,5,3.0,7.0,2,15,0.0,10.44,随机成长
player-random-growth,26,金丹六阶,131,41,36,36,0,bare_fists,2000,9.2,4.85,5,3.0,7.0,2,16,0.0,8.7,随机成长
player-random-growth,27,金丹七阶,133,43,37,37,0,bare_fists,2000,9.12,4.8,5,3.0,7.0,2,11,0.0,6.78,随机成长
player-random-growth,28,金丹八阶,134,44,39,39,0,bare_fists,2000,8.89,4.69,4,3.0,7.0,1,16,0.0,6.03,随机成长
player-random-growth,29,金丹九阶,135,45,40,40,0,bare_fists,2000,8.84,4.67,4,3.0,7.0,2,11,0.0,11.25,随机成长
player-random-growth,30,元婴初期,136,47,41,42,0,bare_fists,2000,8.59,4.55,4,3.0,6.0,1,11,0.0,4.93,随机成长
player-random-growth,31,元婴一阶,137,47,43,43,0,bare_fists,2000,8.6,4.56,4,3.0,6.0,1,14,0.0,5.42,随机成长
player-random-growth,32,元婴二阶,139,48,43,44,0,bare_fists,2000,8.61,4.56,4,3.0,6.0,1,13,0.0,6.78,随机成长
player-random-growth,33,元婴三阶,140,50,45,45,0,bare_fists,2000,8.34,4.43,4,3.0,6.0,1,18,0.0,6.47,随机成长
player-random-growth,34,元婴四阶,141,51,47,46,0,bare_fists,2000,8.3,4.41,4,3.0,6.0,1,15,0.0,8.61,随机成长
player-random-growth,35,元婴五阶,142,53,48,48,0,bare_fists,2000,8.12,4.32,4,3.0,6.0,1,11,0.0,8.03,随机成长
player-random-growth,36,元婴六阶,144,54,48,49,0,bare_fists,2000,7.98,4.23,4,3.0,6.0,1,11,0.0,8.03,随机成长
player-random-growth,37,元婴七阶,145,55,50,50,0,bare_fists,2000,7.97,4.23,4,3.0,6.0,1,13,0.0,4.33,随机成长
player-random-growth,38,元婴八阶,146,56,52,51,0,bare_fists,2000,7.86,4.19,4,3.0,6.0,1,12,0.0,5.62,随机成长
player-random-growth,39,元婴九阶,148,58,52,52,0,bare_fists,2000,7.79,4.15,4,3.0,6.0,1,11,0.0,9.47,随机成长
player-random-growth,40,化神初期,149,59,54,54,0,bare_fists,2000,7.71,4.11,4,3.0,6.0,2,14,0.0,4.64,随机成长
player-random-growth,41,化神一阶,151,60,54,55,0,bare_fists,2000,7.63,4.07,4,3.0,6.0,1,13,0.0,3.48,随机成长
player-random-growth,42,化神二阶,151,61,56,57,0,bare_fists,2000,7.62,4.06,4,3.0,6.0,1,11,0.0,4.69,随机成长
player-random-growth,43,化神三阶,153,62,58,57,0,bare_fists,2000,7.49,4.0,4,2.0,6.0,1,13,0.0,2.9,随机成长
player-random-growth,44,化神四阶,154,63,59,59,0,bare_fists,2000,7.47,3.99,4,2.9,6.0,1,10,0.0,4.3,随机成长
player-random-growth,45,化神五阶,154,65,60,60,0,bare_fists,2000,7.29,3.89,4,2.0,6.0,1,12,0.0,3.54,随机成长
player-random-growth,46,化神六阶,156,66,61,61,0,bare_fists,2000,7.19,3.85,4,2.0,6.0,1,10,0.0,5.19,随机成长
player-random-growth,47,化神七阶,157,68,63,63,0,bare_fists,2000,7.01,3.77,4,2.0,5.0,1,10,0.0,5.19,随机成长
player-random-growth,48,化神八阶,159,69,64,63,0,bare_fists,2000,7.18,3.85,4,2.0,5.0,1,11,0.0,4.02,随机成长
player-random-growth,49,化神九阶,160,71,65,65,0,bare_fists,2000,6.97,3.74,4,2.0,5.0,1,10,0.0,7.03,随机成长
player-random-growth,50,炼虚初期,161,72,66,66,0,bare_fists,2000,6.96,3.74,4,2.0,5.0,1,9,0.0,6.39,随机成长
player-random-growth,51,炼虚一阶,162,73,67,68,0,bare_fists,2000,6.91,3.71,4,2.0,5.0,1,11,0.0,6.19,随机成长
player-random-growth,52,炼虚二阶,164,73,69,69,0,bare_fists,2000,6.92,3.71,4,2.0,5.0,1,12,0.0,4.14,随机成长
player-random-growth,53,炼虚三阶,165,75,70,70,0,bare_fists,2000,6.81,3.65,4,2.0,5.0,1,12,0.0,3.9,随机成长
player-random-growth,54,炼虚四阶,167,77,71,71,0,bare_fists,2000,6.71,3.61,3,2.0,5.0,1,9,0.0,5.36,随机成长
player-random-growth,55,炼虚五阶,167,78,72,73,0,bare_fists,2000,6.67,3.58,3,2.0,5.0,1,9,0.0,7.12,随机成长
player-random-growth,56,炼虚六阶,168,79,74,74,0,bare_fists,2000,6.65,3.58,3,2.0,5.0,1,10,0.0,3.41,随机成长
player-random-growth,57,炼虚七阶,170,80,75,75,0,bare_fists,2000,6.57,3.54,3,2.0,5.0,1,8,0.0,2.49,随机成长
player-random-growth,58,炼虚八阶,171,81,76,76,0,bare_fists,2000,6.59,3.56,3,2.0,5.0,1,11,0.0,3.16,随机成长
player-random-growth,59,炼虚九阶,172,82,78,78,0,bare_fists,2000,6.55,3.53,3,2.0,5.0,1,9,0.0,4.35,随机成长
player-random-growth,60,合体初期,173,84,78,79,0,bare_fists,2000,6.41,3.45,3,2.0,5.0,1,9,0.0,3.79,随机成长
player-random-growth,61,合体一阶,175,85,80,80,0,bare_fists,2000,6.39,3.46,3,2.0,5.0,1,11,0.0,5.09,随机成长
player-random-growth,62,合体二阶,176,86,82,81,0,bare_fists,2000,6.43,3.47,3,2.0,5.0,1,9,0.0,3.21,随机成长
player-random-growth,63,合体三阶,177,88,82,83,0,bare_fists,2000,6.33,3.42,3,2.0,5.0,1,10,0.0,2.58,随机成长
player-random-growth,64,合体四阶,178,89,84,84,0,bare_fists,2000,6.25,3.38,3,2.0,5.0,1,9,0.0,3.38,随机成长
player-random-growth,65,合体五阶,180,91,85,85,0,bare_fists,2000,6.23,3.37,3,2.0,5.0,1,12,0.0,2.68,随机成长
player-random-growth,66,合体六阶,182,91,86,87,0,bare_fists,2000,6.31,3.41,3,2.0,5.0,1,8,0.0,3.21,随机成长
player-random-growth,67,合体七阶,183,93,87,87,0,bare_fists,2000,6.19,3.35,3,2.0,5.0,1,10,0.0,2.37,随机成长
player-random-growth,68,合体八阶,184,94,88,89,0,bare_fists,2000,6.09,3.29,3,2.0,5.0,1,8,0.0,3.74,随机成长
player-random-growth,69,合体九阶,185,95,90,90,0,bare_fists,2000,6.11,3.31,3,2.0,5.0,1,10,0.0,7.49,随机成长
player-random-growth,70,大乘初期,186,96,91,92,0,bare_fists,2000,6.06,3.28,3,2.0,5.0,1,9,0.0,4.52,随机成长
player-random-growth,71,大乘一阶,187,97,93,93,0,bare_fists,2000,6.14,3.33,3,2.0,5.0,1,10,0.0,5.87,随机成长
player-random-growth,72,大乘二阶,189,98,94,94,0,bare_fists,2000,5.96,3.24,3,2.0,5.0,1,9,0.0,5.22,随机成长
player-random-growth,73,大乘三阶,189,100,96,94,0,bare_fists,2000,5.96,3.24,3,2.0,5.0,1,7,0.0,3.13,随机成长
player-random-growth,74,大乘四阶,191,101,97,97,0,bare_fists,2000,5.93,3.22,3,2.0,5.0,1,7,0.0,4.97,随机成长
player-random-growth,75,大乘五阶,192,102,98,98,0,bare_fists,2000,5.94,3.22,3,2.0,4.0,1,9,0.0,3.01,随机成长
player-random-growth,76,大乘六阶,194,104,99,99,0,bare_fists,2000,5.86,3.17,3,2.0,4.0,1,8,0.0,3.92,随机成长
player-random-growth,77,大乘七阶,195,105,101,99,0,bare_fists,2000,5.81,3.16,3,2.0,4.0,1,8,0.0,5.89,随机成长
player-random-growth,78,大乘八阶,196,106,102,101,0,bare_fists,2000,5.87,3.2,3,2.0,4.0,1,8,0.0,4.91,随机成长
player-random-growth,79,大乘九阶,197,107,103,103,0,bare_fists,2000,5.85,3.19,3,2.0,4.0,1,8,0.0,4.42,随机成长
player-random-growth,80,渡劫初期,198,109,104,104,0,bare_fists,2000,5.69,3.11,3,2.0,4.0,1,9,0.0,5.49,随机成长
player-random-growth,81,渡劫一阶,199,110,105,106,0,bare_fists,2000,5.76,3.14,3,2.0,4.0,1,9,0.0,3.65,随机成长
player-random-growth,82,渡劫二阶,201,111,106,106,0,bare_fists,2000,5.67,3.09,3,2.0,4.0,1,8,0.0,3.44,随机成长
player-random-growth,83,渡劫三阶,202,112,108,107,0,bare_fists,2000,5.71,3.12,3,2.0,4.0,1,7,0.0,2.45,随机成长
player-random-growth,84,渡劫四阶,204,114,108,108,0,bare_fists,2000,5.63,3.07,3,2.0,4.0,1,7,0.0,4.24,随机成长
player-random-growth,85,渡劫五阶,205,115,110,110,0,bare_fists,2000,5.67,3.1,3,2.0,4.0,1,7,0.0,3.35,随机成长
player-random-growth,86,渡劫六阶,206,116,111,111,0,bare_fists,2000,5.64,3.07,3,2.0,4.0,1,8,0.0,4.21,随机成长
player-random-growth,87,渡劫七阶,208,117,113,112,0,bare_fists,2000,5.63,3.08,3,2.0,4.0,1,7,0.0,3.63,随机成长
player-random-growth,88,渡劫八阶,208,118,114,114,0,bare_fists,2000,5.59,3.06,3,2.0,4.0,1,7,0.0,3.49,随机成长
player-random-growth,89,渡劫九阶,210,120,115,115,0,bare_fists,2000,5.57,3.04,3,2.0,4.0,1,7,0.0,2.83,随机成长
player-random-growth,90,地仙初期,210,121,117,116,0,bare_fists,2000,5.44,2.98,3,2.0,4.0,1,6,0.0,2.83,随机成长
player-random-growth,91,地仙一阶,213,122,118,118,0,bare_fists,2000,5.53,3.02,3,2.0,4.0,1,7,0.0,3.92,随机成长
player-random-growth,92,地仙二阶,215,124,118,118,0,bare_fists,2000,5.49,3.0,3,2.0,4.0,1,7,0.0,4.2,随机成长
player-random-growth,93,地仙三阶,215,125,120,120,0,bare_fists,2000,5.48,3.01,3,2.0,4.0,1,7,0.0,3.52,随机成长
player-random-growth,94,地仙四阶,216,127,122,121,0,bare_fists,2000,5.39,2.96,3,2.0,4.0,1,7,0.0,3.78,随机成长
player-random-growth,95,地仙五阶,218,128,123,122,0,bare_fists,2000,5.43,2.98,3,2.0,4.0,1,8,0.0,3.67,随机成长
player-random-growth,96,地仙六阶,220,129,123,123,0,bare_fists,2000,5.41,2.96,3,2.0,4.0,1,7,0.0,3.77,随机成长
player-random-growth,97,地仙七阶,220,131,124,125,0,bare_fists,2000,5.28,2.9,3,2.0,4.0,1,8,0.0,3.2,随机成长
player-random-growth,98,地仙八阶,221,131,127,126,0,bare_fists,2000,5.38,2.95,3,2.0,4.0,1,9,0.0,3.77,随机成长
player-random-growth,99,地仙九阶,222,132,128,128,0,bare_fists,2000,5.4,2.95,3,2.0,4.0,1,7,0.0,2.85,随机成长
