domain,scene,level_band,state,route,variant_no,text,tone_tier,narrative_status,note,group
adventure_event,blood_battle,练气-筑基,通用,通用,02,"山那头传来闷雷一样的响动，然后是树倒、草折，铺天盖地的蹄声。
你跟着猎妖队撤上高处，看兽潮从谷底滚过去，像一条活的河。
河过去了，你数了数身边人——少了两个，谁也没提名字。",正经,定稿,兽潮,
adventure_event,blood_battle,金丹-元婴,通用,通用,03,"你被围在岩壁前，退无可退，索性把心一横，迎着最凶的那头扑了上去。
剑断了就夺，夺来的再断就用手——等四周安静下来，你浑身上下没一处不疼。
你靠着岩壁喘了很久，才把剑从掌心里松开。",正经,定稿,血战到底,
adventure_event,blood_battle,通用,通用,通用,04,"仗打到一半，你忽然明白了猎妖的老话：兽血淬体，兽骨炼兵，兽魂——别贪。
你撕下衣襟裹住伤口，战场上的东西，捡有用的拿，拿得动的才拿。
走出战场时，你的行囊比来时沉，脚步比来时稳。",正经,定稿,以战养战,
adventure_event,blood_battle,练气-筑基,通用,通用,05,"队伍撤过山口，你留下来断后，把路障一具一具码到身后。
追来的妖兽扑到路障前，你一剑一剑把它们逼回去，直到山口传来后撤的号角。
你转身跑进山口时，背后又响起低吼——但路障后面的事，就交给路了。",正经,定稿,撤退断后,
adventure_event,blood_battle,通用,蛮州,通用,06,"十万大山的兽潮一来，整座山都在动，树倒石飞，连瘴气都被冲散。
猎妖人从不硬顶，只抢在潮头过去之后捡漏——你跟着老猎手跑了一回，跑丢了一只靴子。
潮过，山里静得能听见露水落地，静得让人后怕。",正经,定稿,十万大山兽潮,
adventure_event,blood_battle,通用,朔州,通用,07,"朔州的妖窟藏在冰崖底下，窟口结着血色的冰棱。
你砸开冰进去，里面竟比外面暖——暖得不对劲，你越走越放轻脚步。
你退出来时，身后的窟口像一张慢慢合拢的嘴；这半个月，你绕开了整条冰崖走路。",正经,定稿,冻土妖窟,
adventure_event,blood_battle,通用,云州,通用,08,"云州的山阴也有妖窟，但轮不到散修去掏——巡山弟子按月清剿，比你勤快。
你只在外围帮着堵了几个小洞，领了一壶伤药。
云州的规矩：妖患，是山门的差事，也是山门的脸面。",正经,定稿,山阴妖窟,
adventure_event,blood_battle,通用,沧州,通用,09,"血色峡谷的岩壁上挂着大大小小的兽巢，像一排蜂房。
你夜里摸上去，挑了最大的那一个——里面的东西比你想的凶。
天亮时你带着战利品下崖，峡谷的风吹干了你衣上的血。",正经,定稿,峡谷岩巢,
adventure_event,blood_battle,通用,青州,通用,10,"青州的海崖上，妖鹞的巢筑在浪够不到的地方。
你攀着湿滑的岩壁上去，趁母鹞不在，挑了巢里最结实的几根羽骨。
下崖时一个浪头打过来，你抱着羽骨在海里泡了半个时辰——羽骨一根没丢。",正经,定稿,海崖巢穴,
adventure_event,blood_battle,通用,中州,通用,11,"中州遗迹的兽窟连着地下的旧阵，妖兽往窟里一钻，追不好追。
你堵在窟口烧了两夜的火，把动静压在地面以下。
天亮时烟散了，地底的脚步也远了——中州的事，多半没个了局。
---",正经,定稿,遗迹兽窟,
adventure_event,ancient_trial,练气-筑基,通用,通用,01,"古碑立在废墟中央，碑面微微发烫，上面的字迹你只认得一半。
你顺着认得的那一半读下去，读到一半，碑身嗡地一震——像认可了什么，又像没认可。
你离开时回头，碑上的字好像比来时亮了一分。",正经,定稿,碑文考验,
adventure_event,ancient_trial,金丹-元婴,通用,通用,02,"断崖上残留着一道剑意，几百年不散，像一道透明的伤口。
你走近，那道剑意便朝你压过来——不是伤人，是问你：接得住吗。
你接了三次，退了三次，第四次站定的时候，剑意忽然自己散了。
散了也好——它等的那个传人，未必是今天。",正经,定稿,剑意残留,
adventure_event,ancient_trial,练气-筑基,通用,通用,03,"你踩进残阵的瞬间，眼前换了一片天地——鸟语花香，像是回家了。
你知道是假的，却还是站了一会儿，才抬脚往前走。
幻境碎在身后时，你听见自己轻轻叹了口气。",正经,定稿,阵中幻境,
adventure_event,ancient_trial,金丹-元婴,通用,通用,04,"那面古镜的器灵半睡半醒，开口第一句就是：""你有什么？""
你答：一柄剑、一卷残功、一条不肯回头的路。
器灵沉默了很久，镜面亮起又暗下：""路，算是有的。你走吧。""",正经,定稿,器灵口试,
adventure_event,ancient_trial,通用,通用,通用,05,"试炼的最后一步，天光从头顶落下来，把你看得透透的。
你坦然站定——这一路是偷是抢是挣，你自己心里有账。
天光收了，什么都没带走，也没留下；但你知道，它认下了你。",正经,定稿,天道检测,
adventure_event,ancient_trial,通用,中州,通用,06,"中州的试炼碑林，一碑一问，自古没人全答完。
你走到第七碑，答对了四问，败在三问——碑林没有为难你，只是让你知道自己几斤几两。
出林时，守林的老修士说：""能走到第七碑的，不多。""",正经,定稿,古战场试炼碑林,
adventure_event,ancient_trial,通用,沧州,通用,07,"沧州的断剑插在沙里，剑意随着风沙时强时弱。
你对着那把剑坐了三天，第四天它微微偏了偏——像点头，又像摇头。
你起身拍掉膝盖上的沙：三天换一个""也许""，足够了。",正经,定稿,残剑意,
adventure_event,ancient_trial,通用,云州,通用,08,"青云门的试炼石立在演武场边，内门弟子拜师前都要摸一回。
你也摸了一回——石头凉了半晌，才慢慢回温。
监考的师兄没说什么，但记名册上，你的名字多圈了一笔。",正经,定稿,山门试炼石,
adventure_event,ancient_trial,通用,朔州,通用,09,"朔州的试炼台冻在冰层下，每年只有最冷的时候露出来。
你踩着冰壳上去，台心刻着古文字，笔画里嵌着冻住的灵光。
你读完最后一行时，极光恰好落下——像是这座台子替几千年前的考官，点了头。",正经,定稿,冰封试炼台,
adventure_event,ancient_trial,通用,蛮州,通用,10,"蛮州的试炼是瘴谷出的题：一炉毒，一盏茶的功夫，活着走出来就算过。
你进了那间石屋，出来时脸色发青，脚步倒是稳的。
门口的老蛊师掀了掀眼皮：""还行。下回考你解。""",正经,定稿,瘴谷试炼,
adventure_event,ancient_trial,通用,青州,通用,11,"青州的海祭台涨潮时沉进水里，退潮时露出半截石阶。
你踏着石阶下去，台心供着一枚螺壳，壳里有半句模糊的潮声。
你听出那半句，在心里补完了下半句——潮水漫上来时，你正好踏着最后一阶上岸。
---",正经,定稿,海祭台,
adventure_event,trade_windfall,通用,通用,通用,01,"坊市角落的摊子上，一只灰扑扑的旧砚台混在杂物里，老板正打瞌睡。
你蹲下来，装作挑了半天，终于把它连同两把不值钱的草根一起买下。
回到住处洗净，砚台底露出一角古篆——老板这一觉，睡得有讲究。",玩梗灰,定稿,坊市捡漏,
adventure_event,trade_windfall,金丹-元婴,通用,通用,02,"拍卖会的场子大，你坐在角落里，看台上你来我往喊成一片。
你只举了一回手，那只药鼎旁落无人问津，凭着识货的眼光捡了个冷门。
出门时掌柜多看了你一眼——意思大概是：下次还来。",玩梗灰,定稿,拍卖会,
adventure_event,trade_windfall,练气-筑基,通用,通用,03,"黑市开在城外的破庙里，灯笼都用黑布罩着，买卖双方都不露脸。
你用半截不知来路的兽骨，换了件还算新的软甲——对方也爽快，挥手成交。
出庙门时，打更的正好敲过三更——这笔买卖，天知地知。",玩梗灰,定稿,黑市,
adventure_event,trade_windfall,金丹-元婴,通用,通用,04,"死当铺的柜台上永远蒙着灰，掌柜的脸比柜台还灰。
你当了一件跟了你多年的旧物，他翻来覆去看了三遍，给你递了个不上不下的价钱。
你没还价，拿钱走人——死当铺的生意，图的就是个""两清""。",玩梗灰,定稿,死当铺,
adventure_event,trade_windfall,练气-筑基,通用,通用,05,"集市边的老树下，两个散修蹲着对眼，中间摆着一株药、一袋盐。
你凑过去看看，用一壶自酿的药酒换来了那袋盐——对方闻了闻酒，眼睛亮了。
这桩买卖没有铜臭，只有两个赶路人各取所需。",玩梗灰,定稿,以物易物,
adventure_event,trade_windfall,通用,云州,通用,06,"云州的山门集市规矩最大，摊贩都比别处斯文，吆喝声压着嗓子。
你在一家老药铺挑了几味常用的药材，掌柜抹了零头，还搭了一句""常来""。
走的时候你才看见，铺子门口挂着青云门的木牌——山门的买卖，图个长久。",玩梗灰,定稿,山门集市,
adventure_event,trade_windfall,通用,沧州,通用,07,"血色峡谷口的集市热闹得邪门，卖残甲的、收锈铁的、代写信的挤在一条街上。
你拿一片品相完好的残甲，抵了接下来几天的食宿。
摊主掂了掂甲片：""这玩意儿，值。""",玩梗灰,定稿,峡谷集市,
adventure_event,trade_windfall,通用,朔州,通用,08,"朔州的货栈里，掌柜的算盘珠子冻得拨不动，干脆伸手指头比划。
你用一壶烈酒换了两张兽皮，双方都觉得自己占了便宜。
出门时雪正大，你把兽皮裹在身上——这买卖，暖和。",玩梗灰,定稿,雪原货栈,
adventure_event,trade_windfall,通用,蛮州,通用,09,"蛮州的山民集市不认钱，认货——一篓药草换一篓盐，一把好刀换半只烤兽。
你用一包跌打药换了一双山藤鞋，结实得能走完十万大山。
寨子里的孩子追着你的背影喊：客，下回再换！",玩梗灰,定稿,山民集市,
adventure_event,trade_windfall,通用,青州,通用,10,"青州渔市的天不亮就开张，鱼获和灵物混在一处卖，全凭眼力。
你在一筐海货里拣出一枚被盐壳包住的珠子，摊主当它是鱼目。
回去擦净，珠子泛着幽幽的蓝光——渔市的老话：大海不识货，识货的人来。",玩梗灰,定稿,渔市,
