id,name,description,rank,required_level_index,passive_bonus_json,exp_multiplier,skill_pool_json,route,route_mult_ling,route_mult_ti,shop_weight,ref_source,design_note,status,canon_origin,tone_tier,story_hook,narrative_status
heart_501,疾风迅雷功,疾风迅雷，先声夺人,帝品,51,"{""speed_percent"": 0.12, ""agility_percent"": 0.1}",0.0,"[{""skill_id"": ""draft_juxing"", ""learn_coefficient"": 0.8}]",通用,1.0,1.0,7,原创（v1 池）,先手流核心；19 点（speed 双端收益按主属性计）,draft,散修日常,平淡,疾风迅雷，先声夺人,占位
heart_502,归一诀,万法归一，修为精进,帝品,51,"{""hp_percent"": 0.06}",0.3,[],通用,1.0,1.0,7,原创（v1 池）,高修炼；6 点,draft,散修日常,平淡,万法归一，修为精进,占位
heart_601,太虚功,太虚无形，攻闪相生,道品,61,"{""damage_percent"": 0.12, ""agility_percent"": 0.13}",0.0,"[{""skill_id"": ""draft_qingfeng"", ""learn_coefficient"": 0.6}]",灵修,1.0,1.0,4,原创（v1 池）,敏攻复合；≈21 点,draft,散修日常,平淡,太虚无形，攻闪相生,占位
heart_602,万寿诀,万寿无疆，气血与修为同增,道品,61,"{""hp_percent"": 0.08}",0.35,[],通用,1.0,1.0,4,原创（v1 池）,修炼顶档；8 点,draft,散修日常,平淡,万寿无疆，气血与修为同增,占位
heart_701,乾坤功,乾坤在握，攻防一体,仙品,71,"{""damage_percent"": 0.15, ""hp_percent"": 0.09}",0.0,"[{""skill_id"": ""draft_zhenlong"", ""learn_coefficient"": 0.3}]",通用,1.0,1.0,2,原创（v1 池）,双主属性复合；24 点,draft,散修日常,平淡,乾坤在握，攻防一体,占位
heart_702,无我功,无我无相，身法通神,仙品,71,"{""agility_percent"": 0.15, ""speed_percent"": 0.13}",0.0,[],通用,1.0,1.0,2,原创（v1 池）,身法顶点；23.5 点,draft,散修日常,平淡,无我无相，身法通神,占位
heart_801,混元一气功,混元一气，万法归宗,混元先天,81,"{""damage_percent"": 0.13, ""hp_percent"": 0.13}",0.0,"[{""skill_id"": ""draft_jiujian"", ""learn_coefficient"": 0.5}, {""skill_id"": ""draft_tianmo"", ""learn_coefficient"": 0.3}]",通用,1.0,1.0,1,原创（v1 池）,三围复合顶点；26 点,draft,散修日常,平淡,混元一气，万法归宗,占位
heart_802,大梦千秋诀,大梦千秋，一觉修为百年,混元先天,81,"{""agility_percent"": 0.08}",0.45,[],通用,1.0,1.0,1,原创（v1 池）,终极修炼心法；5.6 点 + 45% exp,draft,散修日常,平淡,大梦千秋，一觉修为百年,占位
impart_hm_001,传承心法·吐纳,传承之地所授吐纳法门，温养气血,灵品,0,"{""hp_percent"": 0.08}",0.05,[],通用,1.0,1.0,0,传承系统,传承等阶1奖励；被动 8% ≤15% ✓,draft,传承之地,正经,传承之地所授吐纳法门，温养气血,占位
impart_hm_002,传承心法·归元,传承之地所授归元心法，真元生生不息,灵品,0,"{""damage_percent"": 0.06}",0.08,[],通用,1.0,1.0,0,传承系统,传承等阶2奖励；攻伐 6%+修炼 8%,draft,传承之地,正经,传承之地所授归元心法，真元生生不息,占位
heart_qy_001,青云心典,青云门开派祖师所传镇派心法，心静则云生，云生则剑鸣,地品,0,"{""hp_percent"": 0.06, ""damage_percent"": 0.06}",0.1,"[{""skill_id"": ""qy_001"", ""learn_coefficient"": 1.0}, {""skill_id"": ""qy_002"", ""learn_coefficient"": 0.8}, {""skill_id"": ""qy_003"", ""learn_coefficient"": 0.5}]",通用,1.0,1.0,0,现有配置,config 逆向导出补登记（scripts/export_config_to_canon.py）,legacy,青云门,正经,,占位
